法術,英文名稱,欄位,修正前,修正後
食屍鬼之域,Field Of Ghouls,description_zh,"作用距離：個人
作用物件：以自身為中心的半徑 30 英尺的球狀放射領域
時效：1 輪每等級
豁免檢定：意志無效
抗力：可
你將周圍生物那正在消退的生命力抽離出來，並用於製造食屍鬼。施法後，你放射出一
個啟動亡靈的死亡領域。領域內所有 hp<…","你將周圍生物那正在消退的生命力抽離出來，並用於製造食屍鬼。施法後，你放射出一
個啟動亡靈的死亡領域。領域內所有 hp<0 的生物除非成功通過意志檢定，否則將死亡，並
立即被喚起成為受你控制的食屍鬼。它們可以跟隨你行動，或者呆在原地並攻擊任何…"
抗咒領域,Field Of Resistance,range_text,中距（100 呎+10 呎/每等級） 影響範圍：以指定地點為中心 20 呎彌漫半徑的空間,中距（100 呎+10 呎/每等級）
抗咒領域,Field Of Resistance,area_text,,以指定地點為中心 20 呎彌漫半徑的空間
塵風爆,Flaywind Burst,range_text,60 英尺範,60 英尺
塵風爆,Flaywind Burst,area_text,,錐形爆裂
塵風爆,Flaywind Burst,duration,,暫態
塵風爆,Flaywind Burst,saving_throw,,見下文
塵風爆,Flaywind Burst,spell_resistance,,無
塵風爆,Flaywind Burst,description_zh,"圍：錐形爆裂持
續時間：暫態
豁免檢定：見下文
法術抗力：無
這個法術產生了短暫的風暴（風速約 70 英里），伴隨著超自然的沙礫瞬間噴發。除了風
可能造成的影響，範圍內的生物領還須因為沙塵沖刷承受每施法者等級 1d6 點傷害（最高
10d6…","這個法術產生了短暫的風暴（風速約 70 英里），伴隨著超自然的沙礫瞬間噴發。除了風
可能造成的影響，範圍內的生物領還須因為沙塵沖刷承受每施法者等級 1d6 點傷害（最高
10d6）。反射減半。
在法術區域內的生物必須進行強韌豁免否則就會受到…"
集中之歌,Focusing Chant,range_text,,個人
集中之歌,Focusing Chant,area_text,個人,
森林之眼,Forest Eyes,casting_time,1 分鐘距 離：無限,1 分鐘
森林之眼,Forest Eyes,range_text,,無限
森林之聲,Forest Voice,casting_time,1 分鐘距 離：無限,1 分鐘
森林之聲,Forest Voice,range_text,,無限
幽光術,Ghost Light,effect_text,一個中型或小型幻光 持續：專注,一個中型或小型幻光
幽光術,Ghost Light,duration,,專注
幽魂形體,Ghostform,duration,,1 輪/每等級（解消）
幽魂形體,Ghostform,description_zh,"持續：1 輪/每等級（解消）
你呈現為可見的虛體形態，就像一隻真正的幽魂一般。在此狀態下，你不會擁有物理
形體。你只能被其他虛體生物、魔法武器、能夠以魔法武器般攻擊的生物、法術、類法術能力或
超自然能力所傷，並且免疫所有非魔法的攻擊方式。即…","你呈現為可見的虛體形態，就像一隻真正的幽魂一般。在此狀態下，你不會擁有物理
形體。你只能被其他虛體生物、魔法武器、能夠以魔法武器般攻擊的生物、法術、類法術能力或
超自然能力所傷，並且免疫所有非魔法的攻擊方式。即使被法術或魔法武器擊中，你依然…"
食屍鬼之手,Ghoul Gauntlet,range_text,,接觸
食屍鬼之手,Ghoul Gauntlet,target_text,,一個活著的人形生物
食屍鬼之手,Ghoul Gauntlet,duration,,瞬間
食屍鬼之手,Ghoul Gauntlet,saving_throw,,堅韌無效
食屍鬼之手,Ghoul Gauntlet,spell_resistance,,可
食屍鬼之手,Ghoul Gauntlet,description_zh,"作用距離：接觸
作用物件：一個活著的人形生物
持續時間：瞬間
豁免檢定：堅韌無效
法術抗力：可
你的接觸能使一個生物慢慢變成一個嗜血的、饑餓的食屍鬼。轉化從受害者肢體或者被
接觸處（通常是手或手臂）開始。隨著軀體逐漸的壞死並轉化為食屍鬼那冰…","你的接觸能使一個生物慢慢變成一個嗜血的、饑餓的食屍鬼。轉化從受害者肢體或者被
接觸處（通常是手或手臂）開始。隨著軀體逐漸的壞死並轉化為食屍鬼那冰冷、不死的軀體，
期間受害者每輪受到 3d6 點傷害。當 hp 降到 0 時，受害者將變成一個食…"
食屍鬼手勢,Ghoul Gesture,casting_time,1 標準動作 作用距離：中距（100 尺+10 尺/每等級）,1 標準動作
食屍鬼手勢,Ghoul Gesture,range_text,,中距（100 尺+10 尺/每等級）
食屍鬼手勢,Ghoul Gesture,saving_throw,堅韌部分法,堅韌部分
食屍鬼手勢,Ghoul Gesture,spell_resistance,,可
食屍鬼手勢,Ghoul Gesture,description_zh,"術抗力：可
一道綠色射線從你的指尖刺出。你通過遠端接觸攻擊命中目標。目標必須成功通過堅韌
檢定，否則在法術時效內處於麻痹狀態。成功通過檢定的目標將變得噁心，此效果可以被“中和
毒素”消除；
材料：一小片從食屍鬼裹身的衣物上取下的布，或者一點…","一道綠色射線從你的指尖刺出。你通過遠端接觸攻擊命中目標。目標必須成功通過堅韌
檢定，否則在法術時效內處於麻痹狀態。成功通過檢定的目標將變得噁心，此效果可以被“中和
毒素”消除；
材料：一小片從食屍鬼裹身的衣物上取下的布，或者一點食屍鬼巢穴裡…"
食屍鬼符文結界,Ghoul Glyph,casting_time,1 分鐘 作用距離：接觸,1 分鐘
食屍鬼符文結界,Ghoul Glyph,range_text,,接觸
食屍鬼之光,Ghoul Light,range_text,,接觸
食屍鬼之光,Ghoul Light,target_text,,被接觸物體
食屍鬼之光,Ghoul Light,effect_text,,無熱的綠色火焰
食屍鬼之光,Ghoul Light,duration,,10 分鐘每等級
食屍鬼之光,Ghoul Light,saving_throw,,無
食屍鬼之光,Ghoul Light,spell_resistance,,不可
食屍鬼之光,Ghoul Light,description_zh,"作用距離：接觸
作用物件：被接觸物體
效果：無熱的綠色火焰
持續時間：10 分鐘每等級
豁免檢定：無
法術抗力：不可
從被你接觸過的物體上，噴射出亮度同火把一樣的綠色火焰。除發散綠光外，與普通火
苗全無二致。它不發熱，無需氧氣，你可以遮蓋或…","從被你接觸過的物體上，噴射出亮度同火把一樣的綠色火焰。除發散綠光外，與普通火
苗全無二致。它不發熱，無需氧氣，你可以遮蓋或掩藏它，但不能熄滅或完全覆蓋。
所有處在它周圍 30 英尺以內的不死生物獲得+1 驅散抗力，多個食屍鬼之光效果不可疊
…"
巨獸術,Giant Size,duration,,1 分鐘
巨獸術,Giant Size,description_zh,"持續：1 分鐘
施展此法術後，你會變成超大型、巨型或超巨型，取決於你的施法者等級。你的力量、
敏捷、體質天生防禦等級、攻擊和防禦等級的體型調整值、面寬和觸及的改變見上表。（你
施法者等级 体型 力量 敏捷 体质 天防 ＡＣ／攻击调整 面宽／…","施展此法術後，你會變成超大型、巨型或超巨型，取決於你的施法者等級。你的力量、
敏捷、體質天生防禦等級、攻擊和防禦等級的體型調整值、面寬和觸及的改變見上表。（你
施法者等级 体型 力量 敏捷 体质 天防 ＡＣ／攻击调整 面宽／触及
１～１５ …"
巨人之怒,Giant's Wrath,target_text,每 3 級 1 塊石頭持,每 3 級 1 塊石頭
巨人之怒,Giant's Wrath,duration,,一輪/每等級
巨人之怒,Giant's Wrath,saving_throw,,無
巨人之怒,Giant's Wrath,spell_resistance,,無
巨人之怒,Giant's Wrath,description_zh,"續時間：一輪/每等級豁
免檢定：無
法術抗力：無
隨著你晃如巨人般撕吼一聲，你手上一部份的小石子在你扔出去之後變成巨石
你對石塊注入變化系魔法的力量，石頭從你手上離開的時候會變成巨石，在法術持續期
間，投擲石頭是個會引起借機攻擊的攻擊動作。…","隨著你晃如巨人般撕吼一聲，你手上一部份的小石子在你扔出去之後變成巨石
你對石塊注入變化系魔法的力量，石頭從你手上離開的時候會變成巨石，在法術持續期
間，投擲石頭是個會引起借機攻擊的攻擊動作。巨石的射程增量為 120 尺,並且你需要對目
標作…"
鏡變,Glass Strike,target_text,一個生物或 4 立方尺的物件持 續時間：一小時/每等級,一個生物或 4 立方尺的物件
鏡變,Glass Strike,duration,,一小時/每等級
守衛刻文,Glyph Of Warding,range_text,接觸 目標或區域：接觸的物品或至多每等級 5 平方英尺,接觸
守衛刻文,Glyph Of Warding,target_text,,接觸的物品或至多每等級 5 平方英尺
打擊魔像,Golem Strike,range_text,,個人
打擊魔像,Golem Strike,area_text,個人,
恩典,Grace,range_text,,個人
恩典,Grace,area_text,個人,
打擊死靈,Grave Strike,range_text,,個人
打擊死靈,Grave Strike,area_text,個人,
油膩術,Grease,range_text,近距（25 英尺+5 英尺/每 2 等級） 目標或區域：一個物品或一個 10 英尺邊長正方形,近距（25 英尺+5 英尺/每 2 等級）
油膩術,Grease,target_text,,一個物品或一個 10 英尺邊長正方形
導向射擊,Guided Shot,range_text,,個人
導向射擊,Guided Shot,area_text,個人,
加固,Hardening,spell_resistance,,有效（物品）
加固,Hardening,description_zh,"抗力：有效（物品）
角色可以增加物品的硬度。紙張更難撕裂，玻璃更難粉碎，木材更加耐久，諸如此類。
每 2 施法者等級，目標可以增加 1 點硬度。硬度的提高只影響材料的堅固程度，並沒有其他效
果。例如，12 級施法者通過加固影響長劍（硬度 1…","角色可以增加物品的硬度。紙張更難撕裂，玻璃更難粉碎，木材更加耐久，諸如此類。
每 2 施法者等級，目標可以增加 1 點硬度。硬度的提高只影響材料的堅固程度，並沒有其他效
果。例如，12 級施法者通過加固影響長劍（硬度 10），長劍在對抗擊破…"
幽體轉化,Haunt Shift,range_text,,中
幽體轉化,Haunt Shift,target_text,,40 英尺擴散區域內不死生物
幽體轉化,Haunt Shift,duration,,瞬間
幽體轉化,Haunt Shift,saving_throw,,意志無效
幽體轉化,Haunt Shift,spell_resistance,,可
幽體轉化,Haunt Shift,description_zh,"作用距離：中
作用物件：40 英尺擴散區域內不死生物
持續時間：瞬間
豁免檢定：意志無效
法術抗力：可
此法術將虛體和實體的不死生物全部轉化成幽體（幽靈就是這種形態，見本書第 6 頁）。
它能轉化 1d4HD 每施法者等級的不死生物（最高 …","此法術將虛體和實體的不死生物全部轉化成幽體（幽靈就是這種形態，見本書第 6 頁）。
它能轉化 1d4HD 每施法者等級的不死生物（最高 20d4）。HD 最低的不死生物最先被轉化；
HD 相同的個體則取離源發點最近的；HD 大於 8 的不被…"
醫療坐騎,Heal Mount,components,言語，姿勢施,言語，姿勢
醫療坐騎,Heal Mount,casting_time,,1 個標準動作
醫療坐騎,Heal Mount,range_text,,接觸
醫療坐騎,Heal Mount,target_text,,接觸到的自己的坐騎
醫療坐騎,Heal Mount,duration,,立即
醫療坐騎,Heal Mount,saving_throw,,意志，通過無效（無害）
醫療坐騎,Heal Mount,spell_resistance,,可（無害）
醫療坐騎,Heal Mount,description_zh,"法時間：1 個標準動作距
離：接觸
目標：接觸到的自己的坐騎
持續時間：立即
豁免檢定：意志，通過無效（無害）
法術抗力：可（無害）
該法術如同醫療術（heal），但僅僅作用于聖武士的特殊坐騎（通常是戰馬）.",該法術如同醫療術（heal），但僅僅作用于聖武士的特殊坐騎（通常是戰馬）.
醫療學識,Healing Lorecall,components,V，S，M 施法動作：標準動作,V，S，M
醫療學識,Healing Lorecall,casting_time,,標準動作
天降爆電,Heavenly Lightning Storm,range_text,中距（100 呎+10 呎/每等級） 影響範圍：10 呎寬到近距（25 呎+5 呎/每兩等級）,中距（100 呎+10 呎/每等級）
天降爆電,Heavenly Lightning Storm,area_text,,10 呎寬到近距（25 呎+5 呎/每兩等級）
聖潔星辰,Holy Star,effect_text,保護性的星之能量持,保護性的星之能量
聖潔星辰,Holy Star,duration,,3 輪（可解消）
聖潔星辰,Holy Star,description_zh,"續時間：3 輪（可解消）
通過對神祗的呼喚，你的肩膀將會環繞閃著光芒的能量微塵。儘管甚至只如一支蠟燭一般
閃亮，但是這些微塵會給你發自內心的溫暖與令人放心的安全感。
你製造出環繞在你肩膀上的，閃光的能量微塵，提供蠟燭一般的亮度。這個微塵有以…","通過對神祗的呼喚，你的肩膀將會環繞閃著光芒的能量微塵。儘管甚至只如一支蠟燭一般
閃亮，但是這些微塵會給你發自內心的溫暖與令人放心的安全感。
你製造出環繞在你肩膀上的，閃光的能量微塵，提供蠟燭一般的亮度。這個微塵有以下
三種能力，你每輪可以用…"
惡感纏舌,Horrible Taste,duration,10 分鐘/等級豁 免檢定：強韌，見下,10 分鐘/等級
惡感纏舌,Horrible Taste,saving_throw,,強韌，見下
凋死術,Horrid Wilting,target_text,彼此距離不超過 60 英尺的活物持 續時間：立即,彼此距離不超過 60 英尺的活物
凋死術,Horrid Wilting,duration,,立即
疾馳之岩,Hurtling Stone,range_text,,60 尺
疾馳之岩,Hurtling Stone,area_text,60 尺 60 尺直線,60 尺直線
催眠圖紋,Hypnotic Pattern,effect_text,半徑 10 英尺內散發著五彩光芒持 續時間：專注 + 2 輪,半徑 10 英尺內散發著五彩光芒
催眠圖紋,Hypnotic Pattern,duration,,專注 + 2 輪
冰風暴,Ice Storm,components,言語，姿勢，材料/法器施 法時間：1 個標準動作,言語，姿勢，材料/法器
冰風暴,Ice Storm,casting_time,,1 個標準動作
幻影陷阱,Illusory Pit,saving_throw,意志過則不相信法,意志過則不相信
幻影陷阱,Illusory Pit,spell_resistance,,無
幻影陷阱,Illusory Pit,description_zh,"術抗力：無
你用手向下猛撞地面，並同時吟誦著法術的咒語。你指定的地面突然消失，並出現了一個
難以置信的深淵。
你創造出一個虛假的無底深淵，在其中或是進入法術範圍內的生物都必須進行意志檢定否
則就會相信站立的地面已經變成了無底深淵。意志檢定失…","你用手向下猛撞地面，並同時吟誦著法術的咒語。你指定的地面突然消失，並出現了一個
難以置信的深淵。
你創造出一個虛假的無底深淵，在其中或是進入法術範圍內的生物都必須進行意志檢定否
則就會相信站立的地面已經變成了無底深淵。意志檢定失敗的生物會直…"
禁錮術,Imprisonment,components,言語，姿勢施,言語，姿勢
禁錮術,Imprisonment,casting_time,,1 個標準動作
禁錮術,Imprisonment,range_text,,接觸
禁錮術,Imprisonment,target_text,,接觸到的生物
禁錮術,Imprisonment,duration,,立即
禁錮術,Imprisonment,saving_throw,,意志，通過無效；見下文
禁錮術,Imprisonment,spell_resistance,,可
禁錮術,Imprisonment,description_zh,"法時間：1 個標準動作距
離：接觸
目標：接觸到的生物
持續時間：立即
豁免檢定：意志，通過無效；見下文
法術抗力：可
當你施放禁錮術並接觸某生物時，目標進入假死狀態（詳見永恆靜滯（temporal stasis）），
並被埋入遠離地表的小…","當你施放禁錮術並接觸某生物時，目標進入假死狀態（詳見永恆靜滯（temporal stasis）），
並被埋入遠離地表的小球內。該生物會停留在該處直到有人在禁錮術生效的位置施放解錮術
（freedom）為止。使用水晶球（crystal bal…"
焚雲術,Incendiary Cloud,effect_text,擴散出寬 20 英尺高 20 英尺的雲持 續時間：一輪/級別,擴散出寬 20 英尺高 20 英尺的雲
焚雲術,Incendiary Cloud,duration,,一輪/級別
造成輕傷,Inflict Light Wounds,components,言語，姿勢施,言語，姿勢
造成輕傷,Inflict Light Wounds,casting_time,,1 個標準動作
造成輕傷,Inflict Light Wounds,range_text,,接觸
造成輕傷,Inflict Light Wounds,target_text,,接觸到的生物
造成輕傷,Inflict Light Wounds,duration,,立即
造成輕傷,Inflict Light Wounds,saving_throw,,意志，通過則減半
造成輕傷,Inflict Light Wounds,spell_resistance,,可
造成輕傷,Inflict Light Wounds,description_zh,"法時間：1 個標準動作距
離：接觸
目標：接觸到的生物
持續時間：立即
豁免檢定：意志，通過則減半
法術抗力：可
當你的手放在生物身體上時，你引導負能量造成 1d8+每施法者等級 1 點（最多+5）傷
害。
由於不死生物是用負能量作為能源，…","當你的手放在生物身體上時，你引導負能量造成 1d8+每施法者等級 1 點（最多+5）傷
害。
由於不死生物是用負能量作為能源，因此該法術治療等量的傷害，而不是傷害它們。"
精神錯亂,Insanity,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
精神錯亂,Insanity,casting_time,,1 個標準動作
隱形法球,Invisibility Sphere,range_text,,接觸的人或物周圍的半徑 10 英尺球形彌漫區域
隱形法球,Invisibility Sphere,area_text,接觸的人或物周圍的半徑 10 英尺球形彌漫區域,
鋼之忍耐,Ironguts,saving_throw,意志過則無效法,意志過則無效
鋼之忍耐,Ironguts,spell_resistance,,可
鋼之忍耐,Ironguts,description_zh,"術抗力：可
你低語著法術咒語並拔開瓶塞，瓶中裝有著用蠍毒、蟾蜍的毒水、蛇毒和爬行動物的腐
腦混合的液體。有毒一體揮發成烏黑的雲霧圍繞在你的手上使你可以伸手觸碰你的目標。
你使一個生物能夠更簡單的對抗毒素的效果。該生物全身會充滿著抗毒素並且在…","你低語著法術咒語並拔開瓶塞，瓶中裝有著用蠍毒、蟾蜍的毒水、蛇毒和爬行動物的腐
腦混合的液體。有毒一體揮發成烏黑的雲霧圍繞在你的手上使你可以伸手觸碰你的目標。
你使一個生物能夠更簡單的對抗毒素的效果。該生物全身會充滿著抗毒素並且在對抗所
有種…"
跳躍術,Jump,duration,1 分鐘/每等級（可解消） 豁免：意志，通過則無效（無害）,1 分鐘/每等級（可解消）
跳躍術,Jump,saving_throw,,意志，通過則無效（無害）
龍的蔑視輕拍,Kiss Of Draconic Defiance,area_text,40 英尺半徑，以你為中心彌漫。持,40 英尺半徑，以你為中心彌漫。
龍的蔑視輕拍,Kiss Of Draconic Defiance,duration,,專注+1 回合，或直到消耗為止
龍的蔑視輕拍,Kiss Of Draconic Defiance,saving_throw,,強韌，通過則無效；看下文 法術
龍的蔑視輕拍,Kiss Of Draconic Defiance,spell_resistance,,可；看下文
龍的蔑視輕拍,Kiss Of Draconic Defiance,description_zh,"續時間：專注+1 回合，或直到消耗為止豁
免檢定：強韌，通過則無效；看下文 法術
抗力：可；看下文
發光的能量環在你的身體上旋轉，粉碎了他人的魔法能量。
這個法術使你的身體向外放射出魔法干擾，使得法術範圍內的其他人更難施法。任何試
圖在法術…","發光的能量環在你的身體上旋轉，粉碎了他人的魔法能量。
這個法術使你的身體向外放射出魔法干擾，使得法術範圍內的其他人更難施法。任何試
圖在法術範圍內施法的敵人必須成功通過強韌豁免；失敗就意味著失去該法術（如同它被施
放了）且不造成任何效果。任…"
力場之鞭,Lash Of Force,duration,一輪/每等級或直到法術消散豁 免檢定：無和反射檢定通過減半,一輪/每等級或直到法術消散
力場之鞭,Lash Of Force,saving_throw,,無和反射檢定通過減半
李歐蒙的兵營,Leomund’S Billet,range_text,,近距（25 尺+5 尺/每 2 等級）
李歐蒙的兵營,Leomund’S Billet,area_text,近距（25 尺+5 尺/每 2 等級）,
徘徊火焰,Lingering Flames,range_text,中距（100 英尺+10 英尺/每等級） 面積：20 英尺半徑擴散,中距（100 英尺+10 英尺/每等級）
徘徊火焰,Lingering Flames,area_text,,20 英尺半徑擴散
忠誠之誓,Loyal Vassal,target_text,接觸每 3 級一個自願的活物持,接觸每 3 級一個自願的活物
忠誠之誓,Loyal Vassal,duration,,十分鐘/每等級（見下文 ）
忠誠之誓,Loyal Vassal,saving_throw,,意志過則無效（無害）
忠誠之誓,Loyal Vassal,spell_resistance,,有（無害）
忠誠之誓,Loyal Vassal,description_zh,"續時間：十分鐘/每等級（見下文 ） 豁
免檢定：意志過則無效（無害） 法
術抗力：有（無害）
一道神聖的話語發出，然後產生發光的銀符文包圍你的盟友的頭。符文很快消失，但他們
保持了他們的決心。
你保護受術者令他們在對抗影響心靈的法術和技能的…","一道神聖的話語發出，然後產生發光的銀符文包圍你的盟友的頭。符文很快消失，但他們
保持了他們的決心。
你保護受術者令他們在對抗影響心靈的法術和技能的豁免檢定得到 +3 神聖。此外，這
法術防止受術者在非自願的情況下傷害你。在忠誠之誓效果影響下…"
法師回憶術,Mage’s Lucubration,components,言語，姿勢施,言語，姿勢
法師回憶術,Mage’s Lucubration,casting_time,,1 個標準動作
法師回憶術,Mage’s Lucubration,range_text,,個人
法師回憶術,Mage’s Lucubration,target_text,,你自己
法師回憶術,Mage’s Lucubration,duration,,立即
法師回憶術,Mage’s Lucubration,description_zh,"法時間：1 個標準動作距
離：個人
目標：你自己
持續時間：立即
你可以立即喚回最近 24 小時內使用過的一個法術，法術等級不超過 5 級。你必須在之
前的期間內真正的施展過該法術。被喚回的法術儲存在你的心靈，就像一般已準備好的法術一樣。
…","你可以立即喚回最近 24 小時內使用過的一個法術，法術等級不超過 5 級。你必須在之
前的期間內真正的施展過該法術。被喚回的法術儲存在你的心靈，就像一般已準備好的法術一樣。
要施展被喚回的法術時，如果該法術需要材料成分，你也必須準備好。如果…"
魔法飛彈,Magic Missile,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
魔法飛彈,Magic Missile,casting_time,,1 個標準動作
炎魂入體,Mantle Of The Fiery Spirit,range_text,,接觸
炎魂入體,Mantle Of The Fiery Spirit,area_text,接觸,
流星爆,Meteor Swarm,area_text,四個半徑 40 英尺的擴散範圍；見說明持 續時間：立即,四個半徑 40 英尺的擴散範圍；見說明
流星爆,Meteor Swarm,duration,,立即
假像術,Mislead,saving_throw,無；或意志，通過則不相信（若發生互動）；見說明法,無；或意志，通過則不相信（若發生互動）；見說明
假像術,Mislead,spell_resistance,,無
假像術,Mislead,description_zh,"術抗力：無
你變為隱形（同高等隱形術（Greater Invisibility），為五官幻覺），同時出現一個跟你 一
樣的幻影（同強效幻影（major image），為虛假幻覺）。之後你和你的分身可以分開移動。
分身會出現在法術有效範圍內，…","你變為隱形（同高等隱形術（Greater Invisibility），為五官幻覺），同時出現一個跟你 一
樣的幻影（同強效幻影（major image），為虛假幻覺）。之後你和你的分身可以分開移動。
分身會出現在法術有效範圍內，並往你指定的…"
修改記憶,Modify Memory,components,言語，姿勢施 法時間：1 輪；見說明,言語，姿勢
修改記憶,Modify Memory,casting_time,,1 輪；見說明
熔岩擊,Molten Strike,range_text,,遠距（400 尺+40 尺/每等級）
熔岩擊,Molten Strike,area_text,遠距（400 尺+40 尺/每等級） 5 尺爆發,5 尺爆發
殘酷奴役,Monstrous Thrall,saving_throw,意志過則無效法,意志過則無效
殘酷奴役,Monstrous Thrall,spell_resistance,,可
殘酷奴役,Monstrous Thrall,description_zh,"術抗力：可
召來你個人力量來源的能量，你的心靈延伸到你的敵人之上並且得以完全的支配他。
此法術功用類似完全支配（True Domination），但是受術生物可以是任何類型，並且在
意志檢定失敗後將受到永久的支配。當受術者受到命令去進行一件…","召來你個人力量來源的能量，你的心靈延伸到你的敵人之上並且得以完全的支配他。
此法術功用類似完全支配（True Domination），但是受術生物可以是任何類型，並且在
意志檢定失敗後將受到永久的支配。當受術者受到命令去進行一件違反天性的行…"
木乃伊製作術,Mummify,range_text,,接觸
木乃伊製作術,Mummify,area_text,接觸,
近在天邊,Near Horizon,range_text,,個人
近在天邊,Near Horizon,area_text,個人,
偵測腐囊,Necrotic Awareness,range_text,,60 英尺
偵測腐囊,Necrotic Awareness,area_text,,錐狀彌散
偵測腐囊,Necrotic Awareness,duration,,專注，最多 1 分鐘每等級（消解）
偵測腐囊,Necrotic Awareness,saving_throw,,無
偵測腐囊,Necrotic Awareness,spell_resistance,,不可
偵測腐囊,Necrotic Awareness,description_zh,"作用距離：60 英尺
作用範圍：錐狀彌散
時效：專注，最多 1 分鐘每等級（消解）
豁免檢定：無
法術抗力：不可
你能感應到腐囊（見同名法術，在後面）感染體的存在。能感應到的信息量由他們在你
的感應範圍內呆的時間的長度決定。
第 1 輪：有…","你能感應到腐囊（見同名法術，在後面）感染體的存在。能感應到的信息量由他們在你
的感應範圍內呆的時間的長度決定。
第 1 輪：有這種攜帶者接近或離開
第 2 輪：這些攜帶者的數量
第 3 輪：每個攜帶者的位置。如果他處在你的視線外，你可以感應…"
腐囊腫脹,Necrotic Bloat,range_text,,中
腐囊腫脹,Necrotic Bloat,target_text,,腐囊感染體
腐囊腫脹,Necrotic Bloat,duration,,瞬間
腐囊腫脹,Necrotic Bloat,saving_throw,,無
腐囊腫脹,Necrotic Bloat,spell_resistance,,不可
腐囊腫脹,Necrotic Bloat,description_zh,"作用距離：中
作用物件：腐囊感染體
時效：瞬間
豁免檢定：無
法術抗力：不可
你使攜帶者身上的腐囊搏動並腫大。這一過程十分劇烈，將撕裂受害者的活體組織，擴
大腐囊體積，造成極大的內部傷害。目標受到 1d6 每等級的傷害（最高 10d6），其…","你使攜帶者身上的腐囊搏動並腫大。這一過程十分劇烈，將撕裂受害者的活體組織，擴
大腐囊體積，造成極大的內部傷害。目標受到 1d6 每等級的傷害（最高 10d6），其中一半為
穢惡傷害（見《崇惡 之書 》），因為腐囊將漲到包裹住新生的死靈化組織…"
腐囊爆裂,Necrotic Burst,range_text,,中
腐囊爆裂,Necrotic Burst,target_text,,腐囊感染體
腐囊爆裂,Necrotic Burst,duration,,瞬間
腐囊爆裂,Necrotic Burst,saving_throw,,堅韌部分
腐囊爆裂,Necrotic Burst,spell_resistance,,不可
腐囊爆裂,Necrotic Burst,description_zh,"作用距離：中
作用物件：腐囊感染體
時效：瞬間
豁免檢定：堅韌部分
法術抗力：不可
你使感染體身上的腐囊吞齧其正常組織，並爆炸性增大體積。如果受害者通過堅韌檢定，
將受到 1d6 每等級（最高 15d6）傷害，一半為穢惡傷害。由腐囊造成的對…","你使感染體身上的腐囊吞齧其正常組織，並爆炸性增大體積。如果受害者通過堅韌檢定，
將受到 1d6 每等級（最高 15d6）傷害，一半為穢惡傷害。由腐囊造成的對抗死靈系法術的
豁免罰值也有效。
如果檢定失敗，腐囊的生長將失去控制，直至殺死攜帶者…"
壞死詛咒,Necrotic Curse,range_text,近距（25 英尺+5 英尺/2 等級） 面積：20 英尺半徑彌漫,近距（25 英尺+5 英尺/2 等級）
壞死詛咒,Necrotic Curse,area_text,,20 英尺半徑彌漫
腐敗囊腫,Necrotic Cyst,range_text,,接觸
腐敗囊腫,Necrotic Cyst,target_text,,被觸活體生物
腐敗囊腫,Necrotic Cyst,duration,,瞬間
腐敗囊腫,Necrotic Cyst,saving_throw,,堅韌無效
腐敗囊腫,Necrotic Cyst,spell_resistance,,可
腐敗囊腫,Necrotic Cyst,description_zh,"作用距離：接觸
作用物件：被觸活體生物
時效：瞬間
豁免檢定：堅韌無效
法術抗力：可
目標體內長出球狀囊腫，內包著液態或半液態的死靈機質。它看起來像一個（長在被你
接觸到的部位的）輕微腫起，有時會非常的深，以至於腫起都沒有，讓受害者完全無法…","目標體內長出球狀囊腫，內包著液態或半液態的死靈機質。它看起來像一個（長在被你
接觸到的部位的）輕微腫起，有時會非常的深，以至於腫起都沒有，讓受害者完全無法察覺。從
此之後，不死生物和死靈系法術對於受害者將變得更為致命——腐囊可以與外界的死
…"
腐囊支配,Necrotic Domination,target_text,,腐囊感染體
腐囊支配,Necrotic Domination,description_zh,"作用物件：腐囊感染體
法術效果同“支配人類（Dominate Person）”，不同處在它能作用於任何值有腐囊的類
人生物。
施法器材：你必須擁有腐囊母體","法術效果同“支配人類（Dominate Person）”，不同處在它能作用於任何值有腐囊的類
人生物。
施法器材：你必須擁有腐囊母體"
腐囊強化,Necrotic Empowerment,range_text,,個人
腐囊強化,Necrotic Empowerment,target_text,,自身
腐囊強化,Necrotic Empowerment,duration,,1 輪每等級
腐囊強化,Necrotic Empowerment,description_zh,"作 用 距 離 ：個人
作 用 物 件 ：自身
時效：1 輪每等級
你呼喚體內的腐囊母體，從它那裡獲得力量、精力、速度、及堅定的邪惡意志。法術時效
內，你的敏捷、智力及感知獲得+8 的增強加值；你的皮膚明顯變粗變硬，使天然裝甲+8； 你
的…","你呼喚體內的腐囊母體，從它那裡獲得力量、精力、速度、及堅定的邪惡意志。法術時效
內，你的敏捷、智力及感知獲得+8 的增強加值；你的皮膚明顯變粗變硬，使天然裝甲+8； 你
的堅韌豁免獲得+5 環境加值，同時獲得 100 點 臨 時 hp。
法…"
腐囊爆發,Necrotic Eruption,range_text,,中
腐囊爆發,Necrotic Eruption,target_text,,腐囊感染體及其周圍 20 英尺內的生物
腐囊爆發,Necrotic Eruption,duration,,瞬間
腐囊爆發,Necrotic Eruption,saving_throw,,堅韌部分
腐囊爆發,Necrotic Eruption,spell_resistance,,不可
